year,cpi,adjustment
1983,39.66031,2.52141
1984,41.62755,2.40226
1985,44.00691,2.27237
1986,46.45388,2.15267
1987,48.64328,2.05578
1988,50.99045,1.96115
1989,53.31829,1.87553
1990,56.22890,1.77844
1991,58.77891,1.70129
1992,60.77190,1.64550
1993,62.59748,1.59751
1994,64.53252,1.54961
1995,66.60923,1.50129
1996,68.76321,1.45427
1997,70.86246,1.41118
1998,73.24182,1.36534
1999,75.32496,1.32758
2000,77.77838,1.28570
2001,80.69221,1.23928
2002,83.73161,1.19429
2003,85.72139,1.16657
2004,88.05245,1.13569
2005,90.30947,1.10730
2006,93.45834,1.07000
2007,96.90522,1.03194
2008,99.35435,1.00650
2009,100.42552,0.99576
2010,100.00000,1.00000
